iter	F1	Logloss
0	0.7597710946	0.6678738262
1	0.752965183	0.6456203349
2	0.7624810893	0.6236664519
3	0.7580234335	0.6072820446
4	0.7644399799	0.5901786474
5	0.7746741155	0.5769942477
6	0.7797581952	0.5650050381
7	0.7809217843	0.5535746656
8	0.7787875016	0.5441219587
9	0.7816491011	0.5360761228
10	0.7847946045	0.5291219516
11	0.7865003668	0.522005173
12	0.7864838394	0.5158095506
13	0.786724032	0.5105418016
14	0.7901719902	0.5053366289
15	0.7849769929	0.5011016322
16	0.7842157842	0.4966962832
17	0.787292132	0.4924418849
18	0.7855090568	0.4893343462
19	0.7885358255	0.4861863185
20	0.7903205688	0.4829165288
21	0.792118718	0.4799849399
22	0.7940372671	0.4770711192
23	0.7943262411	0.4741723614
24	0.7941431939	0.4716745369
25	0.7940372671	0.4699386399
26	0.7952226922	0.4671531191
27	0.7965238982	0.464945912
28	0.7960248447	0.4631127596
29	0.7972166998	0.4616264386
30	0.7974116476	0.459864096
31	0.7973157699	0.4581545353
32	0.7974116476	0.4561417884
33	0.7974148645	0.4543211569
34	0.7977065935	0.4528530051
35	0.8000996388	0.451163393
36	0.7979081061	0.4496725121
37	0.7987004873	0.4478994278
38	0.7989001375	0.4466463222
39	0.8004002001	0.4454736703
40	0.8023008628	0.4438058764
41	0.8026052104	0.4424151996
42	0.8039043924	0.4410868229
43	0.8045141066	0.4392661456
44	0.8038133467	0.4380027345
45	0.8057193026	0.4369677776
46	0.8044187798	0.4356881722
47	0.8048229088	0.4347804503
48	0.8049240045	0.4338649457
49	0.8047218385	0.4329369104
50	0.8062248996	0.4316402426
51	0.8055241682	0.4308698812
52	0.8057193026	0.4299280002
53	0.8056253139	0.4291521935
54	0.8062327218	0.4283786227
55	0.8059363602	0.4273094706
56	0.8071365749	0.4267842306
57	0.8081417263	0.4259440636
58	0.8089323799	0.4243755652
59	0.81232002	0.4230647052
60	0.812421738	0.4220734342
61	0.8112308849	0.4215082559
62	0.814221332	0.4204560849
63	0.8140350877	0.419338297
64	0.8145272386	0.4187362029
65	0.8155291171	0.4175498344
66	0.814731304	0.4168775141
67	0.8163061148	0.4159116069
68	0.8157137495	0.4153503327
69	0.8157137495	0.4143624959
70	0.815324903	0.4139132924
71	0.8151207911	0.413368905
72	0.8157334335	0.4120275904
73	0.8153441143	0.4109832812
74	0.815446339	0.4103457804
75	0.8170426065	0.4093684958
76	0.816449348	0.4086676756
77	0.8158554942	0.4077900417
78	0.8181249218	0.4068046573
79	0.8175548589	0.405911173
80	0.8189449944	0.4053011812
81	0.8197419516	0.4047480408
82	0.8198446505	0.4044512288
83	0.8196392786	0.4040931818
84	0.8202303455	0.4037540189
85	0.8197419516	0.4029990889
86	0.8187633262	0.4023543909
87	0.8203330412	0.4015767003
88	0.8192529456	0.400976218
89	0.8197419516	0.4002100742
90	0.8217945514	0.3995972275
91	0.8222055514	0.3984143314
92	0.8211290524	0.3976258397
93	0.8216162122	0.3969590681
94	0.8207181284	0.3963195436
95	0.8213079905	0.3958338961
96	0.8214107054	0.3951886782
97	0.8214107054	0.3947415037
98	0.8215134459	0.3947284003
99	0.8222055514	0.3940599944
100	0.8224112056	0.3934977198
101	0.8227198799	0.3928760969
102	0.8228228228	0.3924719733
103	0.8233379241	0.3917892416
104	0.8224392687	0.3908367933
105	0.8232348523	0.3900396393
106	0.8233379241	0.3894801597
107	0.8231318062	0.3888756634
108	0.8240300375	0.3879009881
109	0.8241331831	0.3875099826
110	0.8245153221	0.3870052701
111	0.8250312891	0.3861441683
112	0.8252378568	0.3857378268
113	0.8239568976	0.3851238491
114	0.8244427749	0.3847227144
115	0.8248559258	0.3839524883
116	0.826860436	0.382882559
117	0.826860436	0.3823552019
118	0.8269640396	0.3819499509
119	0.826860436	0.3813727986
120	0.8280701754	0.3809706173
121	0.82934769	0.3802657699
122	0.8300375469	0.3798642573
123	0.8300375469	0.3793410188
124	0.82934769	0.3785388954
125	0.8299336754	0.3781306288
126	0.8285535379	0.377615807
127	0.8284497871	0.377159566
128	0.8290726817	0.376739857
129	0.8285893417	0.3763422031
130	0.8285893417	0.3758057911
131	0.8294515402	0.3753178369
132	0.8308308308	0.3748713562
133	0.8326244684	0.3742225084
134	0.8325203252	0.3738220249
135	0.8326244684	0.3735845779
136	0.8326244684	0.3730162613
137	0.8324162081	0.372602214
138	0.8328328328	0.3719809083
139	0.833895763	0.3711623646
140	0.8334167084	0.3708139574
141	0.8343128673	0.3703148953
142	0.8353734699	0.3697112802
143	0.8354177089	0.3688122935
144	0.8380571857	0.3678596317
145	0.8393704721	0.3669684375
