iter	Passed	Remaining
0	173	173370
1	177	88703
2	181	60333
3	184	45952
4	188	37466
5	191	31805
6	195	27774
7	200	24865
8	203	22436
9	206	20481
10	210	18891
11	213	17574
12	216	16440
13	218	15396
14	221	14562
15	225	13846
16	228	13199
17	231	12636
18	234	12117
19	237	11649
20	241	11240
21	243	10821
22	246	10476
23	249	10153
24	252	9855
25	255	9585
26	259	9334
27	262	9100
28	265	8879
29	268	8673
30	271	8485
31	273	8287
32	277	8121
33	280	7963
34	283	7815
35	286	7674
36	289	7538
37	292	7409
38	295	7289
39	298	7175
40	302	7073
41	305	6966
42	308	6869
43	311	6774
44	314	6683
45	318	6597
46	321	6515
47	324	6437
48	327	6359
49	330	6286
50	334	6219
51	337	6151
52	340	6087
53	344	6027
54	346	5956
55	350	5901
56	353	5849
57	356	5795
58	360	5743
59	363	5695
60	366	5647
61	370	5603
62	373	5557
63	377	5514
64	380	5472
65	383	5433
66	387	5392
67	390	5354
68	393	5314
69	397	5278
70	400	5241
71	403	5200
72	407	5168
73	410	5133
74	413	5101
75	417	5072
76	420	5042
77	423	5006
78	427	4978
79	430	4951
80	433	4920
81	436	4883
82	439	4853
83	442	4825
84	445	4796
85	448	4767
86	451	4742
87	454	4715
88	458	4688
89	461	4663
90	464	4637
91	467	4612
92	470	4588
93	473	4565
94	476	4541
95	479	4519
96	483	4498
97	486	4475
98	489	4453
99	492	4431
100	495	4409
101	498	4390
102	501	4369
103	504	4343
104	507	4323
105	510	4303
106	513	4284
107	516	4265
108	519	4247
109	522	4230
110	526	4213
111	529	4196
112	532	4179
113	535	4162
114	538	4146
115	542	4131
116	545	4115
117	548	4099
118	551	4085
119	554	4069
120	558	4054
121	561	4039
122	564	4023
123	567	4008
124	570	3994
125	574	3981
126	577	3967
127	580	3953
128	583	3938
129	586	3924
130	589	3911
131	592	3897
132	595	3884
133	599	3871
134	602	3857
135	605	3845
136	608	3832
137	611	3819
138	614	3807
139	617	3795
140	621	3784
141	624	3771
142	627	3759
143	630	3747
144	633	3737
145	637	3727
146	640	3717
147	644	3707
148	647	3699
149	651	3690
150	654	3679
151	657	3668
152	660	3657
153	663	3647
154	667	3636
155	670	3625
156	673	3615
157	676	3604
158	679	3596
159	683	3588
160	687	3580
161	692	3581
162	695	3572
163	698	3562
164	701	3552
